id,AuthorID,Author,DateTime,Content,Attachments,Reactions,Attachment_type,ReactionsCount,Channel_name,Content_Length,dt,created_at,created_by,Dimension
70718,816297447956676619,Srishti#0907,2021-10-08 22:56:00,Community plays an important role in the overall development of my personality.,null,"💯 (5),❤️ (4)",null,9,passion-vs-ratrace,79.0,2021-10-08,2022-07-14 13:43:12.795088,Utkarsh,Mindset_Mentorship
70719,824899964655370241,Rupam#3277,2021-10-08 22:57:00,Time management matrix help in prioritizing things and move in a planned manner.,null,"👀 (3),💯 (6),💛 (2)",null,11,college-life-problems,80.0,2021-10-08,2022-07-14 13:43:12.800066,Utkarsh,Mindset_Mentorship
70720,868781513385312256,jai2201#7481,2021-10-08 22:57:00,"Managing time by prioritising your tasks helps you a lot to save your time , organise things in a better way and become more productive in our daily life.",null,💯 (6),null,6,college-life-problems,154.0,2021-10-08,2022-07-14 13:43:12.804664,Utkarsh,Mindset_Mentorship
70721,707254616768774225,radhajayaraman#0544,2021-10-08 22:57:00,It's important to understand the power of effective writing owing to the fact that the pen is mightier than the sword.,null,"💯 (5),❤️ (5),👍 (2),🧡 (2)",null,14,core-triggers,118.0,2021-10-08,2022-07-14 13:43:12.809489,Utkarsh,Mindset_Mentorship
70722,817014462187831297,Shi_vam#0108,2021-10-08 22:58:00,Writing can help in narrow down the job to be done and let you be in check.,null,💯 (3),null,3,college-life-problems,75.0,2021-10-08,2022-07-14 13:43:12.813937,Utkarsh,Mindset_Mentorship
70723,816297447956676619,Srishti#0907,2021-10-08 22:58:00,How does it help in prioritising @rupz? What do you get to know?,null,👀 (1),null,1,college-life-problems,64.0,2021-10-08,2022-07-14 13:43:12.818593,Utkarsh,Mindset_Mentorship
70724,760553408234258434,Shweta Shinde | Contributor#4280,2021-10-08 22:58:00,Community helps me to improve myself and understand where I'm lagging behind,null,💯 (4),null,4,passion-vs-ratrace,76.0,2021-10-08,2022-07-14 13:43:12.823074,Utkarsh,Mindset_Mentorship
70725,811143997631758358,Explorin#4311,2021-10-08 22:59:00,"Hi comrades,

Myself Ram. I just explored Introspective writing from Effective Writing Mission. I have a note to share that I just wrote to me 5 years from now as part of the goal.

Note to self: *""I imagine myself to be a part of a community where everyone builds their life.""*

I am looking forward to grow with you all in the upcoming days!",null,"🔥 (6),❤️ (6),😍 (1)",null,13,core-triggers,343.0,2021-10-08,2022-07-14 13:43:12.827378,Utkarsh,Mindset_Mentorship
70726,760346075994390538,argus#2468,2021-10-08 22:59:00,The best way to explore your interest is to try out everything going on in the mind patiently.,null,"💯 (3),👍 (2)",null,5,passion-vs-ratrace,94.0,2021-10-08,2022-07-14 13:43:12.832270,Utkarsh,Mindset_Mentorship
70727,774643622808518696,utkarsh#1616,2021-10-08 22:59:00,Time wastage is very unnoticeable thing. We should work on it to make our day more productive.,null,💯 (1),null,1,college-life-problems,94.0,2021-10-08,2022-07-14 13:43:12.836703,Utkarsh,Mindset_Mentorship
