AuthorID,Author,Date,Content,Attachments,Reactions,Channel_name,Attachment_type,ReactionsCount,Content_Length,dt
8.16297E+17,Srishti#0907,2021-10-08 22:56:00,Community plays an important role in the overall development of my personality.,null,"💯 (5),❤️ (4)",fundamentals,null,9,79,2021-10-08
7.07255E+17,radhajayaraman#0544,2021-10-08 22:57:00,It's important to understand the power of effective writing owing to the fact that the pen is mightier than the sword.,null,"💯 (5),❤️ (5),👍 (2),🧡 (2)",core-communication,null,14,118,2021-10-08
8.68782E+17,jai2201#7481,2021-10-08 22:57:00,"Managing time by prioritising your tasks helps you a lot to save your time , organise things in a better way and become more productive in our daily life.",null,💯 (6),productivity,null,6,154,2021-10-08
8.249E+17,Rupam#3277,2021-10-08 22:57:00,Time management matrix help in prioritizing things and move in a planned manner.,null,"👀 (3),💯 (6),💛 (2)",productivity,null,11,80,2021-10-08
8.16297E+17,Srishti#0907,2021-10-08 22:58:00,How does it help in prioritising @rupz? What do you get to know?,null,👀 (1),productivity,null,1,64,2021-10-08
8.17014E+17,Shi_vam#0108,2021-10-08 22:58:00,Writing can help in narrow down the job to be done and let you be in check.,null,💯 (3),productivity,null,3,75,2021-10-08
7.60553E+17,Shweta Shinde | Contributor#4280,2021-10-08 22:58:00,Community helps me to improve myself and understand where I'm lagging behind,null,💯 (4),fundamentals,null,4,76,2021-10-08
8.11144E+17,Explorin#4311,2021-10-08 22:59:00,"Hi comrades,

Myself Ram. I just explored Introspective writing from Effective Writing Mission. I have a note to share that I just wrote to me 5 years from now as part of the goal.

Note to self: *""I imagine myself to be a part of a community where everyone builds their life.""*

I am looking forward to grow with you all in the upcoming days!",null,"🔥 (6),❤️ (6),😍 (1)",core-communication,null,13,343,2021-10-08
7.60346E+17,argus#2468,2021-10-08 22:59:00,The best way to explore your interest is to try out everything going on in the mind patiently.,null,"💯 (3),👍 (2)",fundamentals,null,5,94,2021-10-08
7.74644E+17,utkarsh#1616,2021-10-08 22:59:00,Time wastage is very unnoticeable thing. We should work on it to make our day more productive.,null,💯 (1),productivity,null,1,94,2021-10-08
8.96086E+17,abhishek_explorin#5153,2021-10-08 23:01:00,there should be an optimality in time management. It shouldn't be over managed either 😛,null,"💯 (5),🤓 (4),❤️ (3)",productivity,null,12,87,2021-10-08
